案例,URL,關鍵字,標籤
臺灣桃園地方法院 100 年度重訴字第 19 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c100%2c%e9%87%8d%e8%a8%b4%2c19%2c20140708%2c3&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e9%87%8d%e8%a8%b4%e5%ad%97%e7%ac%ac+19+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"風災, 風災, 颱風, 地震",
臺灣桃園地方法院 101 年度建字第 13 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c101%2c%e5%bb%ba%2c13%2c20130904%2c2&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+13+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
臺灣桃園地方法院 101 年度重訴字第 393 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c101%2c%e9%87%8d%e8%a8%b4%2c393%2c20140619%2c2&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e9%87%8d%e8%a8%b4%e5%ad%97%e7%ac%ac+393+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 水災",
臺灣桃園地方法院 104 年度建字第 23 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c104%2c%e5%bb%ba%2c23%2c20161125%2c1&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+23+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
臺灣桃園地方法院 109 年度建字第 32 號民事判決,https://judgment.judicial.gov.tw/FILES/TYDV/109%2c%e5%bb%ba%2c32%2c20220408%2c1.pdf,颱風,
臺灣桃園地方法院 111 年度建字第 147 號民事判決,https://judgment.judicial.gov.tw/FILES/TYDV/111%2c%e5%bb%ba%2c147%2c20231012%2c1.pdf,疫情,
臺灣桃園地方法院 94 年度訴字第 1307 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c94%2c%e8%a8%b4%2c1307%2c20081229%2c5&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+94+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+1307+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,淹水,
臺灣桃園地方法院 95 年度訴字第 1702 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c95%2c%e8%a8%b4%2c1702%2c20070425%2c1&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+95+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+1702+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 95 年度訴字第 467 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c95%2c%e8%a8%b4%2c467%2c20070309%2c1&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+95+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+467+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 95 年度訴字第 475 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c95%2c%e8%a8%b4%2c475%2c20070907%2c1&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+95+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+475+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 95 年度訴字第 930 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c95%2c%e8%a8%b4%2c930%2c20070426%2c1&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+95+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+930+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 95 年度訴字第 931 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c95%2c%e8%a8%b4%2c931%2c20061228%2c2&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+95+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+931+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 95 年度重訴字第 213 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c95%2c%e9%87%8d%e8%a8%b4%2c213%2c20070629%2c2&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+95+%e5%b9%b4%e5%ba%a6%e9%87%8d%e8%a8%b4%e5%ad%97%e7%ac%ac+213+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 95 年度重訴字第 298 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c95%2c%e9%87%8d%e8%a8%b4%2c298%2c20070531%2c3&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+95+%e5%b9%b4%e5%ba%a6%e9%87%8d%e8%a8%b4%e5%ad%97%e7%ac%ac+298+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 97 年度訴字第 1263 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c97%2c%e8%a8%b4%2c1263%2c20090430%2c1&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+97+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+1263+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
臺灣桃園地方法院 97 年度訴字第 2074 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c97%2c%e8%a8%b4%2c2074%2c20110603%2c2&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+97+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+2074+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"天氣, 豪雨, 地形",
臺灣桃園地方法院 97 年度重訴字第 165 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c97%2c%e9%87%8d%e8%a8%b4%2c165%2c20081120%2c2&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+97+%e5%b9%b4%e5%ba%a6%e9%87%8d%e8%a8%b4%e5%ad%97%e7%ac%ac+165+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,戰爭,
臺灣桃園地方法院 97 年度重訴字第 226 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c97%2c%e9%87%8d%e8%a8%b4%2c226%2c20091229%2c3&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+97+%e5%b9%b4%e5%ba%a6%e9%87%8d%e8%a8%b4%e5%ad%97%e7%ac%ac+226+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"風災, 地震, 水災, 豪雨, 淹水",
臺灣桃園地方法院 99 年度建字第 33 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TYDV%2c99%2c%e5%bb%ba%2c33%2c20121108%2c2&fname=%e8%87%ba%e7%81%a3%e6%a1%83%e5%9c%92%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+99+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+33+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 淹水",
臺灣橋頭地方法院 103 年度建字第 15 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=CTDV%2c103%2c%e5%bb%ba%2c15%2c20170224%2c1&fname=%e8%87%ba%e7%81%a3%e6%a9%8b%e9%a0%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+15+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地下水位,
臺灣橋頭地方法院 104 年度建字第 54 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=CTDV%2c104%2c%e5%bb%ba%2c54%2c20161128%2c1&fname=%e8%87%ba%e7%81%a3%e6%a9%8b%e9%a0%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+54+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"地貌, 風災, 風災, 颱風, 地形",
臺灣橋頭地方法院 106 年度建字第 44 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=CTDV%2c106%2c%e5%bb%ba%2c44%2c20181017%2c2&fname=%e8%87%ba%e7%81%a3%e6%a9%8b%e9%a0%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+44+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 水災, 豪雨",
臺灣橋頭地方法院 109 年度建字第 42 號民事判決,https://judgment.judicial.gov.tw/FILES/CTDV/109%2c%e5%bb%ba%2c42%2c20230707%2c1.pdf,地質,
臺灣橋頭地方法院 109 年度建字第 46 號民事判決,https://judgment.judicial.gov.tw/FILES/CTDV/109%2c%e5%bb%ba%2c46%2c20220330%2c1.pdf,地質,
臺灣澎湖地方法院 102 年度建字第 2 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=PHDV%2c102%2c%e5%bb%ba%2c2%2c20140812%2c1&fname=%e8%87%ba%e7%81%a3%e6%be%8e%e6%b9%96%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+102+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+2+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
臺灣澎湖地方法院 106 年度建字第 1 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=PHDV%2c106%2c%e5%bb%ba%2c1%2c20181227%2c1&fname=%e8%87%ba%e7%81%a3%e6%be%8e%e6%b9%96%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+1+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨, 淹水",
臺灣臺中地方法院 100 年度建字第 115 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c115%2c20140417%2c2&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+115+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"洪水, 地震, 水災, 豪雨, 颱風, 地質, 地形",
臺灣臺中地方法院 100 年度建字第 123 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c123%2c20131226%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+123+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
臺灣臺中地方法院 100 年度建字第 133 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c133%2c20150501%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+133+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"地質, 地下水位",
臺灣臺中地方法院 100 年度建字第 136 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c136%2c20151231%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+136+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
臺灣臺中地方法院 100 年度建字第 148 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c148%2c20130628%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+148+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"地形, 洪水",
臺灣臺中地方法院 100 年度建字第 165 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c165%2c20121011%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+165+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,淹水,
臺灣臺中地方法院 100 年度建字第 23 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c23%2c20110505%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+23+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨",
臺灣臺中地方法院 100 年度建字第 33 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c33%2c20110929%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+33+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"風災, 風災, 颱風",
臺灣臺中地方法院 100 年度建字第 98 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c100%2c%e5%bb%ba%2c98%2c20130628%2c3&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+98+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 地質, 地下水位",
臺灣臺中地方法院 101 年度建字第 139 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e5%bb%ba%2c139%2c20171228%2c3&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+139+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 地質, 地下水位, 地形",
臺灣臺中地方法院 101 年度建字第 190 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e5%bb%ba%2c190%2c20140626%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+190+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"戰爭, 天氣",
臺灣臺中地方法院 101 年度建字第 197 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e5%bb%ba%2c197%2c20130515%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+197+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨, 地震",
臺灣臺中地方法院 101 年度建字第 43 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e5%bb%ba%2c43%2c20140613%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+43+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 水災, 淹水",
臺灣臺中地方法院 101 年度建字第 53 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e5%bb%ba%2c53%2c20151216%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+53+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨, 地震",
臺灣臺中地方法院 101 年度建字第 58 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e5%bb%ba%2c58%2c20170215%2c3&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+58+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 洪水, 豪雨, 地震",
臺灣臺中地方法院 101 年度建字第 75 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e5%bb%ba%2c75%2c20160722%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+75+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"地質, 地下水位, 風災, 風災, 颱風",
臺灣臺中地方法院 101 年度訴字第 473 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c101%2c%e8%a8%b4%2c473%2c20140421%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e8%a8%b4%e5%ad%97%e7%ac%ac+473+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 天氣, 地質, 地下水位",
臺灣臺中地方法院 102 年度建字第 168 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c102%2c%e5%bb%ba%2c168%2c20160218%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+102+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+168+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 戰爭, 豪雨, 地震",
臺灣臺中地方法院 102 年度建字第 26 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c102%2c%e5%bb%ba%2c26%2c20140627%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+102+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+26+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 陰雨, 豪雨",
臺灣臺中地方法院 102 年度建字第 8 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=102%2c%e5%bb%ba%2c8%2c20190530%2c2&tablename=TCDV&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2102%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac8%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"颱風, 地形, 豪雨, 洪水",
臺灣臺中地方法院 102 年度建字第 97 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c102%2c%e5%bb%ba%2c97%2c20150605%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+102+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+97+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"地質, 風災, 颱風, 天氣, 風災",
臺灣臺中地方法院 103 年度建字第 119 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c103%2c%e5%bb%ba%2c119%2c20150429%2c1&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+119+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 地質, 地下水位, 豪雨",
臺灣臺中地方法院 103 年度建字第 171 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=103%2c%e5%bb%ba%2c171%2c20200424%2c1&tablename=TCDV&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2103%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac171%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"颱風, 豪雨",
臺灣臺中地方法院 103 年度建字第 215 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TCDV%2c103%2c%e5%bb%ba%2c215%2c20170223%2c2&fname=%e8%87%ba%e7%81%a3%e8%87%ba%e4%b8%ad%e5%9c%b0%e6%96%b9%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%bb%ba%e5%ad%97%e7%ac%ac+215+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地震,
